name,time,quantity
บางแค,jul_61,8599.92
บางซื่อ,jul_61,5067.82
บางนา,jul_61,6842.68
บางบอน,jul_61,6890.97
บางพลัด,jul_61,4678.53
บางรัก,jul_61,4683.8
บึงกุ่ม,jul_61,6312.35
ปทุมวัน,jul_61,9416.43
ประเวศ,jul_61,9762.69
ป้อมปราบศัตรูพ่าย,jul_61,2488.47
พญาไท,jul_61,5552.65
พระโขนง,jul_61,4560.86
พระนคร,jul_61,6004.04
ภาษีเจริญ,jul_61,4978.25
มีนบุรี,jul_61,6091.83
ยานนาวา,jul_61,5767.81
ราชเทวี,jul_61,7092.56
ราษฎร์บูรณะ,jul_61,3706.98
ลาดกระบัง,jul_61,9648.36
ลาดพร้าว,jul_61,6870.24
วังทองหลาง,jul_61,7138.37
วัฒนา,jul_61,9293.35
สวนหลวง,jul_61,7578.08
สะพานสูง,jul_61,3999.3
สัมพันธวงศ์,jul_61,1650.86
สาทร,jul_61,5004.02
สายไหม,jul_61,7643.35
หนองแขม,jul_61,5332.05
หนองจอก,jul_61,4529.43
หลักสี่,jul_61,5651.8
ห้วยขวาง,jul_61,7130.4
อื่นๆ,jul_61,17591.82
คลองเตย,aug_61,9629.9
คลองสาน,aug_61,3868.45
คลองสามวา,aug_61,6048.6
คันนายาว,aug_61,4886.96
จตุจักร,aug_61,13763.9
จอมทอง,aug_61,6830.38
ดอนเมือง,aug_61,6847.77
ดินแดง,aug_61,9327.31
ดุสิต,aug_61,5351.61
ตลิ่งชัน,aug_61,4641.88
ทวีวัฒนา,aug_61,3471.81
ทุ่งครุ,aug_61,4228.74
ธนบุรี,aug_61,5130.82
บางกอกน้อย,aug_61,5355.15
บางกอกใหญ่,aug_61,2443.14
บางกะปิ,aug_61,11236.2
บางขุนเทียน,aug_61,10584.3
บางเขน,aug_61,9886.74
บางคอแหลม,aug_61,4360.87
บางแค,aug_61,8992.11
บางซื่อ,aug_61,5325.65
บางนา,aug_61,6890.88
บางบอน,aug_61,7042.18
บางพลัด,aug_61,4957.82
บางรัก,aug_61,4906.34
บึงกุ่ม,aug_61,6368.43
ปทุมวัน,aug_61,9881.88
ประเวศ,aug_61,9761.35
ป้อมปราบศัตรูพ่าย,aug_61,2538.71
พญาไท,aug_61,5603.85
พระโขนง,aug_61,4672.71
พระนคร,aug_61,6102.13
ภาษีเจริญ,aug_61,5192.11
มีนบุรี,aug_61,6181.98
ยานนาวา,aug_61,5908.32
ราชเทวี,aug_61,7168.87
ราษฎร์บูรณะ,aug_61,3768.68
ลาดกระบัง,aug_61,9875.36
ลาดพร้าว,aug_61,7051.5
วังทองหลาง,aug_61,7374.49
วัฒนา,aug_61,9531.48
สวนหลวง,aug_61,7587.66
สะพานสูง,aug_61,4142.35
สัมพันธวงศ์,aug_61,1745.57
สาทร,aug_61,5219.52
สายไหม,aug_61,7730.67
หนองแขม,aug_61,5631.77
หนองจอก,aug_61,4535.39
หลักสี่,aug_61,5755.89
ห้วยขวาง,aug_61,7256.16
อื่นๆ,aug_61,18919.44
คลองเตย,sep_61,9213.72
คลองสาน,sep_61,3534.99
คลองสามวา,sep_61,5570.11
คันนายาว,sep_61,4657.03
จตุจักร,sep_61,13194.2
จอมทอง,sep_61,6077.26
ดอนเมือง,sep_61,6458.73
ดินแดง,sep_61,8830.82
ดุสิต,sep_61,4875.39
ตลิ่งชัน,sep_61,4212.41
ทวีวัฒนา,sep_61,3447.39
ทุ่งครุ,sep_61,3908.85
ธนบุรี,sep_61,4626.99
บางกอกน้อย,sep_61,5067.47
บางกอกใหญ่,sep_61,2426.53
บางกะปิ,sep_61,10417.2
บางขุนเทียน,sep_61,9730.34
บางเขน,sep_61,9348.17
บางคอแหลม,sep_61,3928
บางแค,sep_61,8220.52
บางซื่อ,sep_61,4859.69
บางนา,sep_61,6460.68
บางบอน,sep_61,6412.67
บางพลัด,sep_61,4489.09
บางรัก,sep_61,4778.97
บึงกุ่ม,sep_61,6225.61
ปทุมวัน,sep_61,9183.87
ประเวศ,sep_61,9033.04
ป้อมปราบศัตรูพ่าย,sep_61,2311.92
พญาไท,sep_61,5548.08
พระโขนง,sep_61,4432.04
พระนคร,sep_61,5529.36
ภาษีเจริญ,sep_61,4886.23
มีนบุรี,sep_61,5853.88
ยานนาวา,sep_61,5344.14
ราชเทวี,sep_61,6667.39
ราษฎร์บูรณะ,sep_61,3344.35
ลาดกระบัง,sep_61,9053.66
ลาดพร้าว,sep_61,6918.61
วังทองหลาง,sep_61,7150.08
วัฒนา,sep_61,9005.46
สวนหลวง,sep_61,7040.22
สะพานสูง,sep_61,3860
สัมพันธวงศ์,sep_61,1503.75
สาทร,sep_61,4719.6
สายไหม,sep_61,7229.36
หนองแขม,sep_61,5362.1
หนองจอก,sep_61,4216.86
หลักสี่,sep_61,5485.5
ห้วยขวาง,sep_61,7050.1
อื่นๆ,sep_61,18327.36
